"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"RP11-257I8.1"	-1.07822488428649	6.95497778256485	97.4624066545821	5.48885398394474e-23	5.19313665690275e-21
"FBXW12"	2.42480730196158	1.59244356227012	97.3483134960664	5.81441557443497e-23	5.45884169892144e-21
"DYNLT3P2"	1.75135926953902	4.26509054713248	97.2289016024338	6.17585856247136e-23	5.75392013396664e-21
"RP11-257I14.1"	0.885520014358691	5.92979438331319	97.1890026789088	6.30156852951137e-23	5.82656393202168e-21
"AC105921.5"	-0.996310154376401	6.32193777196764	97.0490249020569	6.76318535205991e-23	6.18418105186546e-21
"DNAH2"	-0.827421196743961	6.86284824802204	97.0412838911741	6.7896785002046e-23	6.18418105186546e-21
"RP11-807G9.2"	-0.882033610945776	6.65047116333752	96.4770482462039	9.02844115112779e-23	8.16237957403813e-21
"ZDHHC12"	-1.46478091119271	3.68890200865032	96.2030908636811	1.03682903875619e-22	9.30477824854358e-21
"RP11-281A20.2"	1.08007049412942	6.11585727814998	95.9370843519402	1.18593005596972e-22	1.05651652066499e-20
"RP11-862L9.3"	0.857471127921552	6.17168667795188	95.7645290315098	1.29393406206655e-22	1.14438153822625e-20
"CLN3"	-0.907920737853101	5.79524575389001	95.4768832310154	1.49628340984817e-22	1.31382295087748e-20
"IGHV3-75"	0.965884704448441	6.63859260007485	94.976668774809	1.92642414192935e-22	1.67942904658912e-20
"RNA5SP249"	0.986047274819259	6.08275779314976	94.5788238401999	2.35524484518665e-22	2.03870661953922e-20
"LINC00309"	1.2659357523574	3.99935705938078	94.543430525436	2.39773544910843e-22	2.0608705039696e-20
"DHTKD1"	1.24336970322815	4.83027961109386	94.0765305955569	3.0355727954907e-22	2.59085076706042e-20
"PTP4A1"	0.874874902440285	5.74186366766485	93.8703638379333	3.36880561583608e-22	2.85529670425551e-20
"SECISBP2"	0.814201036892277	6.63030715917932	93.7866481959061	3.51434497698591e-22	2.95810899614573e-20
"MIA"	1.18443380452285	3.72127079049075	93.4792685997767	4.10477545428474e-22	3.43142359037981e-20
"RP11-360F5.1"	-1.15244487117029	8.05390376889968	93.1128870845046	4.93950608460679e-22	4.10113413351197e-20
"VN1R81P"	-0.852691190884096	7.47723547881139	93.0921364419214	4.99156670658153e-22	4.11635619282619e-20
"RP11-467I20.5"	0.888762776726331	6.26656846852176	92.7357720795519	5.97635294335541e-22	4.89539514588274e-20
"RP11-794P6.6"	1.30679310935125	3.72613978442276	92.2489330218615	7.64313428389319e-22	6.21896359566109e-20
"RP11-43N5.1"	1.12939990420222	3.78226183119093	92.1608186588016	7.99113595965361e-22	6.45906055546836e-20
"RN7SL26P"	0.933057672834046	6.79831324865481	92.0560721619731	8.42550192334707e-22	6.76534545884546e-20
"RNU6-520P"	-1.13443129596861	4.84403776346577	91.752832147688	9.82076208071481e-22	7.83414386896237e-20
"AC022555.1"	2.59557274745168	0.602219577278135	91.3770851114774	1.18743605777577e-21	9.41081628906058e-20
"FEM1AP1"	1.47189458770984	2.52476721820218	91.3358884927931	1.21241653546893e-21	9.54680246154731e-20
"RP11-280H21.1"	-1.01839324877666	5.69447406180392	91.0982495635328	1.36712563770548e-21	1.06960053898689e-19
"MMP7"	1.67979630027038	2.43045439542231	90.7336601472331	1.64373057653326e-21	1.27781730487824e-19
"RP11-98J23.1"	-0.960761613994765	5.70105699765644	90.4654544083213	1.88234894708914e-21	1.45405499362171e-19
